Record #,Wrinkles,Scars,Shell Segments,Color,Fangs for some reason,Nostril Size,Miscellaneous Abnormalities,Weight
40,0,2,10,green,no,unusually small,2,21.9lb
41,5,2,9,gray,yes,normal,0,4.5lb
42,3,3,11,grayish-green,no,unusually large,1,23.0lb
43,5,4,11,grayish-green,no,normal,0,20.0lb
44,0,5,6,green,no,normal,0,20.4lb
45,2,3,8,gray,yes,unusually small,0,3.8lb
46,4,2,9,green,no,normal,8,33.4lb
47,5,3,11,grayish-green,no,normal,0,20.1lb
48,0,3,6,green,no,normal,0,20.4lb
49,1,2,8,gray,yes,unusually large,0,4.2lb
50,1,2,8,green,no,normal,0,16.1lb
51,4,2,10,green,no,normal,2,23.6lb
52,3,5,10,green,no,normal,1,18.5lb
53,6,1,11,grayish-green,no,normal,0,22.3lb
54,1,1,10,green,no,normal,0,18.2lb
55,0,6,6,green,no,normal,0,20.4lb
56,0,1,6,green,no,normal,0,20.4lb
57,0,3,6,green,no,normal,0,20.4lb
58,5,4,14,green,no,normal,4,26.7lb
59,4,2,12,green,no,unusually small,2,21.1lb
60,2,1,7,green,no,normal,1,17.6lb
61,0,5,6,green,no,normal,0,20.4lb
62,3,2,10,green,no,normal,0,18.0lb
63,0,2,6,green,no,normal,0,20.4lb
64,7,3,8,grayish-green,no,normal,4,26.7lb
65,0,1,6,green,no,normal,0,20.4lb
66,1,6,8,green,no,normal,0,14.4lb
67,2,5,9,green,no,normal,2,20.5lb
68,5,2,10,grayish-green,no,normal,3,20.5lb
69,5,1,11,green,no,normal,3,23.8lb
70,1,2,14,green,no,normal,2,20.1lb
71,0,1,6,green,no,normal,0,20.4lb
72,1,4,10,green,no,normal,1,18.7lb
73,0,1,6,green,no,normal,0,20.4lb
74,3,1,9,green,no,unusually large,1,19.1lb
75,5,2,10,gray,yes,normal,3,5.1lb
76,3,1,8,gray,yes,normal,0,3.9lb
77,4,3,9,green,no,normal,0,17.6lb
78,4,4,11,grayish-green,no,normal,1,22.4lb
79,2,5,11,green,no,normal,0,18.7lb
80,3,1,11,green,no,normal,0,19.2lb
81,7,4,9,grayish-green,no,unusually large,2,22.7lb
82,1,1,11,green,no,normal,2,24.0lb
83,2,2,8,green,no,unusually large,0,14.5lb
84,2,4,11,green,no,normal,4,22.3lb
85,4,2,10,gray,yes,normal,5,5.3lb
86,4,2,11,green,no,unusually large,5,25.5lb
87,1,1,11,green,no,normal,0,17.4lb
88,3,4,11,grayish-green,no,normal,1,20.4lb
89,0,2,6,green,no,normal,0,20.4lb
90,4,2,12,gray,yes,normal,0,6.6lb
91,4,1,7,green,no,unusually large,2,15.1lb
92,4,1,10,green,no,normal,5,26.4lb
93,7,4,11,greenish-gray,no,unusually small,0,25.4lb
94,4,2,9,green,no,unusually small,3,17.8lb
95,4,3,10,gray,yes,unusually large,0,5.4lb
96,2,3,10,grayish-green,no,unusually large,0,21.1lb
97,9,5,10,grayish-green,no,normal,2,26.1lb
98,0,6,6,green,no,normal,0,20.4lb
99,2,0,10,green,no,normal,1,16.4lb
100,4,2,8,grayish-green,no,unusually small,3,22.6lb
101,3,0,10,green,no,normal,5,23.5lb
102,2,5,9,green,no,unusually large,0,18.1lb
103,0,2,10,grayish-green,no,normal,3,21.3lb
104,1,2,9,gray,yes,normal,5,3.7lb
105,0,6,6,green,no,normal,0,20.4lb
106,0,4,6,green,no,normal,0,20.4lb
107,4,3,12,gray,yes,normal,0,6.0lb
108,0,3,6,green,no,normal,0,20.4lb
109,7,1,10,green,no,normal,2,18.8lb
110,0,3,6,green,no,normal,0,20.4lb
111,0,1,10,grayish-green,no,normal,0,17.1lb
112,6,5,12,greenish-gray,no,normal,2,27.3lb
113,4,0,9,green,no,unusually small,0,18.9lb
114,0,5,6,green,no,normal,0,20.4lb
115,1,2,8,green,no,unusually large,1,21.6lb
116,0,2,9,green,no,unusually small,0,16.2lb
117,2,1,9,green,no,normal,2,19.5lb
118,1,3,10,green,no,unusually small,0,19.2lb
119,2,3,11,green,no,normal,0,17.3lb
120,13,7,11,greenish-gray,no,normal,0,30.5lb
121,5,3,10,grayish-green,no,normal,4,25.1lb
122,3,3,8,green,no,normal,0,15.5lb
123,1,4,9,green,no,normal,0,15.7lb
124,2,1,11,green,no,unusually large,1,16.9lb
125,10,3,11,gray,yes,normal,0,5.2lb
126,2,5,11,green,no,normal,3,19.1lb
127,1,2,8,green,no,normal,0,13.7lb
128,3,1,9,green,no,normal,0,15.8lb
129,0,4,6,green,no,normal,0,20.4lb
130,5,1,11,green,no,unusually small,0,18.2lb
131,0,5,6,green,no,normal,0,20.4lb
132,5,1,10,green,no,unusually small,3,19.3lb
133,11,2,12,grayish-green,no,normal,0,27.4lb
134,3,2,13,grayish-green,no,normal,4,21.8lb
135,11,6,12,greenish-gray,no,normal,6,29.1lb
136,0,3,10,green,no,normal,1,18.6lb
137,2,3,9,green,no,normal,3,18.0lb
138,2,3,13,grayish-green,no,unusually large,4,21.8lb
139,1,4,13,gray,yes,normal,0,6.1lb
140,2,4,9,green,no,normal,0,18.6lb
141,6,6,13,greenish-gray,no,normal,0,26.3lb
142,1,4,15,green,no,normal,1,19.6lb
143,0,4,6,green,no,normal,0,20.4lb
144,2,5,11,green,no,normal,1,18.5lb
145,6,3,12,grayish-green,no,normal,0,25.9lb
146,1,0,10,green,no,normal,0,17.1lb
147,1,3,9,grayish-green,no,normal,0,18.0lb
148,7,1,13,grayish-green,no,normal,6,33.7lb
149,1,2,10,gray,yes,normal,0,5.2lb
150,4,5,9,green,no,unusually large,0,16.6lb
151,0,1,9,gray,yes,normal,1,4.6lb
152,1,1,8,green,no,unusually large,1,18.6lb
153,2,1,10,gray,yes,normal,0,5.3lb
154,1,3,10,grayish-green,no,normal,2,22.2lb
155,7,3,11,grayish-green,no,normal,1,23.5lb
156,2,3,9,grayish-green,no,normal,4,26.8lb
157,2,3,7,gray,yes,normal,1,3.9lb
158,2,0,10,green,no,normal,1,16.5lb
159,1,1,10,green,no,normal,5,26.1lb
160,1,2,9,green,no,normal,4,22.2lb
161,1,4,12,green,no,unusually small,0,18.9lb
162,4,2,11,grayish-green,no,normal,0,18.0lb
163,5,3,10,green,no,normal,7,22.1lb
164,0,6,6,green,no,normal,0,20.4lb
165,4,3,11,green,no,normal,0,20.4lb
166,1,6,14,gray,yes,normal,0,8.0lb
167,3,1,10,green,no,normal,2,22.1lb
168,0,5,10,green,no,normal,2,22.6lb
169,0,1,12,green,no,normal,3,23.7lb
170,8,6,13,greenish-gray,no,normal,0,24.3lb
171,4,1,10,green,no,unusually large,0,17.5lb
172,5,0,11,grayish-green,no,normal,2,22.6lb
173,0,2,6,green,no,normal,0,20.4lb
174,2,0,10,green,no,normal,1,21.3lb
175,2,3,10,grayish-green,no,unusually large,1,18.4lb
176,3,7,12,grayish-green,no,normal,3,25.8lb
177,2,4,13,grayish-green,no,normal,0,22.1lb
178,0,5,6,green,no,normal,0,20.4lb
179,2,2,11,green,no,normal,3,23.8lb
180,0,4,6,green,no,normal,0,20.4lb
181,3,3,12,grayish-green,no,normal,1,19.0lb
182,2,0,11,green,no,normal,0,16.8lb
183,5,1,12,grayish-green,no,normal,3,22.1lb
184,7,2,11,grayish-green,no,unusually small,4,25.5lb
185,3,3,10,green,no,normal,0,17.2lb
186,0,5,6,green,no,normal,0,20.4lb
187,0,3,6,green,no,normal,0,20.4lb
188,6,6,10,grayish-green,no,normal,2,24.8lb
189,2,1,7,grayish-green,no,normal,0,17.5lb
190,0,0,11,gray,yes,normal,0,5.1lb
191,0,6,6,green,no,normal,0,20.4lb
192,0,2,10,green,no,unusually large,2,19.0lb
193,1,4,7,grayish-green,no,normal,0,17.1lb
194,1,5,8,gray,yes,normal,0,3.9lb
195,2,5,12,grayish-green,no,normal,1,23.0lb
196,3,3,12,green,no,unusually large,0,19.5lb
197,0,5,6,green,no,normal,0,20.4lb
198,4,3,9,grayish-green,no,normal,0,18.4lb
199,4,7,11,grayish-green,no,unusually small,0,19.4lb
200,0,1,9,green,no,unusually large,1,19.1lb
201,0,1,6,green,no,normal,0,20.4lb
202,5,4,13,grayish-green,no,normal,6,34.6lb
203,2,2,9,green,no,unusually large,1,18.1lb
204,0,4,6,green,no,normal,0,20.4lb
205,3,4,11,green,no,unusually large,2,19.8lb
206,3,1,10,green,no,normal,4,26.3lb
207,0,6,6,green,no,normal,0,20.4lb
208,7,1,10,grayish-green,no,normal,4,27.2lb
209,2,2,11,green,no,normal,6,21.8lb
210,11,4,14,grayish-green,no,normal,4,30.6lb
211,8,0,8,green,no,normal,0,19.5lb
212,2,2,10,green,no,normal,0,18.8lb
213,1,2,11,green,no,normal,0,18.6lb
214,2,2,8,gray,yes,normal,0,4.1lb
215,0,4,6,green,no,normal,0,20.4lb
216,3,3,9,green,no,normal,1,17.3lb
217,3,2,9,green,no,unusually small,0,17.3lb
218,1,1,12,gray,yes,normal,0,5.6lb
219,5,5,9,grayish-green,no,normal,3,22.9lb
220,6,3,9,gray,yes,normal,0,4.6lb
221,5,2,11,green,no,normal,0,19.8lb
222,5,1,9,grayish-green,no,normal,2,18.7lb
223,3,0,10,gray,yes,normal,7,5.2lb
224,1,1,11,grayish-green,no,normal,1,20.8lb
225,0,1,6,green,no,normal,0,20.4lb
226,9,6,13,greenish-gray,no,normal,0,27.2lb
227,4,3,9,grayish-green,no,normal,5,28.7lb
228,3,2,11,green,no,normal,0,19.6lb
229,6,2,11,gray,yes,normal,1,5.5lb
230,3,1,10,green,no,normal,0,17.4lb
231,4,0,11,green,no,normal,0,19.2lb
232,3,1,10,green,no,normal,0,17.3lb
233,0,1,6,green,no,normal,0,20.4lb
234,2,3,9,green,no,normal,3,17.3lb
235,5,3,8,gray,yes,normal,2,4.1lb
236,3,6,8,green,no,normal,1,16.0lb
237,1,2,8,green,no,unusually small,1,20.0lb
238,0,5,9,green,no,unusually large,0,14.9lb
239,0,5,6,green,no,normal,0,20.4lb
240,11,6,12,greenish-gray,no,normal,7,42.2lb
241,3,3,9,green,no,normal,0,18.1lb
242,0,3,6,green,no,normal,0,20.4lb
243,4,1,8,green,no,normal,2,21.5lb
244,0,2,9,green,no,normal,0,18.5lb
245,4,3,9,gray,yes,normal,1,5.0lb
246,3,4,10,green,no,normal,0,17.4lb
247,12,10,11,greenish-gray,no,unusually small,4,35.5lb
248,0,1,6,green,no,normal,0,20.4lb
249,0,5,6,green,no,normal,0,20.4lb
250,3,0,10,green,no,normal,1,20.1lb
251,0,4,6,green,no,normal,0,20.4lb
252,0,2,6,green,no,normal,0,20.4lb
253,5,5,13,gray,yes,unusually small,0,6.7lb
254,0,3,6,green,no,normal,0,20.4lb
255,3,2,9,grayish-green,no,normal,1,18.9lb
256,0,2,11,green,no,normal,2,18.3lb
257,7,2,10,grayish-green,no,normal,0,22.9lb
258,10,6,13,grayish-green,no,normal,3,31.7lb
259,3,4,9,green,no,normal,2,19.2lb
260,0,1,6,green,no,normal,0,20.4lb
261,1,3,9,gray,yes,normal,2,5.1lb
262,6,6,8,green,no,normal,0,19.5lb
263,3,5,9,green,no,normal,0,19.4lb
264,0,4,6,green,no,normal,0,20.4lb
265,1,7,9,gray,yes,normal,3,4.1lb
266,6,4,9,grayish-green,no,normal,1,24.9lb
267,6,1,10,grayish-green,no,normal,0,19.1lb
268,4,7,9,grayish-green,no,normal,1,22.3lb
269,3,2,10,grayish-green,no,normal,1,19.0lb
270,3,1,11,green,no,normal,1,16.0lb
271,0,2,9,gray,yes,normal,1,4.3lb
272,5,2,8,green,no,unusually large,2,17.1lb
273,3,5,9,grayish-green,no,unusually large,2,22.7lb
274,1,2,8,green,no,normal,1,16.8lb
275,2,4,10,green,no,normal,3,21.1lb
276,3,0,12,green,no,normal,0,18.1lb
277,8,6,10,greenish-gray,no,normal,2,25.9lb
278,8,4,11,grayish-green,no,normal,0,22.2lb
279,1,3,10,green,no,unusually small,2,19.0lb
280,3,2,13,grayish-green,no,normal,0,19.5lb
281,3,1,12,green,no,normal,6,23.4lb
282,0,2,6,green,no,normal,0,20.4lb
283,6,3,14,grayish-green,no,unusually small,3,27.9lb
284,0,3,6,green,no,normal,0,20.4lb
285,3,1,8,green,no,unusually small,1,18.6lb
286,1,3,9,green,no,normal,4,19.1lb
287,4,1,10,green,no,normal,0,16.1lb
288,0,2,6,green,no,normal,0,20.4lb
289,3,5,9,green,no,normal,2,17.9lb
290,2,3,8,gray,yes,normal,4,4.8lb
291,3,1,10,grayish-green,no,normal,3,22.3lb
292,7,5,11,green,no,normal,3,25.7lb
293,3,4,10,green,no,normal,0,15.9lb
294,4,1,13,green,no,normal,0,21.4lb
295,0,3,6,green,no,normal,0,20.4lb
296,1,2,9,gray,yes,normal,1,4.9lb
297,0,1,11,grayish-green,no,normal,0,19.5lb
298,0,4,6,green,no,normal,0,20.4lb
299,9,2,8,grayish-green,no,normal,0,20.5lb
300,3,4,11,green,no,unusually small,2,23.7lb
301,1,0,10,green,no,unusually large,0,16.8lb
302,4,2,9,green,no,normal,0,16.9lb
303,2,4,12,green,no,normal,1,18.8lb
304,5,2,12,green,no,unusually small,3,22.5lb
305,4,0,8,green,no,normal,2,21.6lb
306,0,1,6,green,no,normal,0,20.4lb
307,1,1,9,grayish-green,no,normal,1,18.6lb
308,0,2,6,green,no,normal,0,20.4lb
309,0,5,6,green,no,normal,0,20.4lb
310,4,5,11,green,no,normal,0,17.8lb
311,8,1,12,grayish-green,no,unusually large,1,23.5lb
312,4,2,9,green,no,unusually small,0,17.5lb
313,3,3,11,gray,yes,normal,0,5.4lb
314,2,6,10,green,no,normal,2,20.1lb
315,6,3,10,grayish-green,no,normal,0,21.7lb
316,0,5,6,green,no,normal,0,20.4lb
317,2,1,11,green,no,normal,0,18.6lb
318,3,2,10,green,no,normal,2,19.6lb
319,2,4,11,green,no,normal,0,16.9lb
320,1,1,12,green,no,unusually large,0,17.7lb
321,2,2,9,green,no,normal,7,19.8lb
322,0,6,6,green,no,normal,0,20.4lb
323,7,5,10,greenish-gray,no,unusually small,3,31.3lb
324,3,3,9,grayish-green,no,normal,5,26.7lb
325,6,2,8,grayish-green,no,normal,2,19.5lb
326,2,3,11,green,no,normal,3,23.0lb
327,2,4,9,green,no,normal,0,16.5lb
328,2,2,9,green,no,normal,4,23.2lb
329,0,2,6,green,no,normal,0,20.4lb
330,0,5,9,green,no,normal,1,18.2lb
331,1,0,12,green,no,normal,2,18.8lb
332,6,1,8,gray,yes,unusually small,2,4.3lb
333,0,1,6,green,no,normal,0,20.4lb
334,0,2,6,green,no,normal,0,20.4lb
335,2,5,12,green,no,normal,0,18.0lb
336,1,4,9,green,no,normal,0,16.4lb
337,2,2,10,grayish-green,no,normal,4,27.3lb
338,2,2,9,gray,yes,normal,4,4.2lb
339,0,4,8,green,no,unusually small,5,21.6lb
340,9,2,11,grayish-green,no,normal,1,25.2lb
341,0,1,6,green,no,normal,0,20.4lb
342,5,4,10,grayish-green,no,normal,1,20.2lb
343,0,3,6,green,no,normal,0,20.4lb
344,1,6,9,green,no,unusually large,2,20.7lb
345,3,4,9,green,no,normal,2,18.7lb
346,0,4,6,green,no,normal,0,20.4lb
347,4,1,11,green,no,normal,0,18.5lb
348,1,6,9,green,no,unusually large,2,17.7lb
349,2,0,9,green,no,unusually large,5,21.2lb
350,3,3,10,grayish-green,no,normal,0,18.4lb
351,1,1,11,green,no,normal,2,20.3lb
352,1,2,8,grayish-green,no,normal,0,17.5lb
353,0,4,6,green,no,normal,0,20.4lb
354,0,4,6,green,no,normal,0,20.4lb
355,3,2,8,gray,yes,normal,7,3.9lb
356,2,6,9,gray,yes,unusually large,0,4.1lb
357,6,1,9,green,no,normal,2,19.4lb
358,2,2,10,grayish-green,no,normal,0,18.6lb
359,3,3,10,green,no,normal,1,18.2lb
360,2,2,9,green,no,normal,1,18.3lb
361,1,2,11,grayish-green,no,normal,5,19.5lb
362,0,2,6,green,no,normal,0,20.4lb
363,0,3,6,green,no,normal,0,20.4lb
364,4,3,12,green,no,normal,4,21.4lb
365,7,1,10,grayish-green,no,normal,1,21.1lb
366,5,5,11,gray,yes,unusually small,0,5.8lb
367,4,1,10,gray,yes,normal,1,5.2lb
368,0,5,6,green,no,normal,0,20.4lb
369,0,6,6,green,no,normal,0,20.4lb
370,0,4,6,green,no,normal,0,20.4lb
371,0,5,9,green,no,normal,0,17.0lb
372,3,1,9,green,no,normal,0,16.7lb
373,1,1,7,green,no,normal,3,21.8lb
374,2,1,8,green,no,normal,2,16.9lb
375,2,1,10,green,no,unusually small,0,17.0lb
376,0,5,6,green,no,normal,0,20.4lb
377,0,5,6,green,no,normal,0,20.4lb
378,3,5,8,green,no,normal,0,16.1lb
379,4,2,12,green,no,normal,2,22.6lb
380,4,2,8,green,no,normal,2,18.8lb
381,0,1,6,green,no,normal,0,20.4lb
382,9,4,9,grayish-green,no,normal,1,21.6lb
383,4,1,9,green,no,normal,0,17.2lb
384,0,5,6,green,no,normal,0,20.4lb
385,4,1,10,green,no,normal,0,19.8lb
386,1,2,8,green,no,normal,1,18.3lb
387,4,2,10,green,no,unusually large,0,16.2lb
388,4,3,9,green,no,normal,2,20.7lb
389,3,1,10,green,no,normal,1,20.7lb
390,1,2,8,green,no,normal,0,14.4lb
391,5,2,10,green,no,unusually large,3,21.7lb
392,2,0,11,green,no,normal,0,20.0lb
393,0,1,6,green,no,normal,0,20.4lb
394,6,0,10,green,no,normal,0,18.0lb
395,0,6,6,green,no,normal,0,20.4lb
396,2,4,10,green,no,normal,1,16.6lb
397,2,1,10,green,no,normal,5,22.5lb
398,0,3,13,gray,yes,normal,2,7.0lb
399,0,5,6,green,no,normal,0,20.4lb
400,5,3,8,green,no,unusually large,1,19.3lb
401,1,1,9,green,no,normal,0,18.0lb
402,0,5,6,green,no,normal,0,20.4lb
403,5,2,10,green,no,normal,2,20.3lb
404,6,6,11,grayish-green,no,normal,0,23.0lb
405,5,1,9,green,no,unusually large,2,21.8lb
406,2,4,10,green,no,normal,1,19.8lb
407,0,1,6,green,no,normal,0,20.4lb
408,0,6,6,green,no,normal,0,20.4lb
409,4,3,13,grayish-green,no,normal,0,22.9lb
410,2,3,11,grayish-green,no,normal,0,19.0lb
411,5,4,10,grayish-green,no,normal,1,21.2lb
412,6,5,11,grayish-green,no,normal,4,26.9lb
413,5,1,8,greenish-gray,no,unusually large,0,21.9lb
414,0,3,10,green,no,normal,0,16.6lb
415,8,3,12,grayish-green,no,normal,3,27.0lb
416,4,4,10,grayish-green,no,normal,5,22.0lb
417,3,3,10,green,no,normal,1,18.3lb
418,0,4,6,green,no,normal,0,20.4lb
419,3,3,10,grayish-green,no,normal,0,17.5lb
420,2,2,10,green,no,normal,0,17.8lb
421,3,1,8,gray,yes,unusually large,7,4.1lb
422,6,1,10,grayish-green,no,normal,0,24.4lb
423,2,1,10,green,no,normal,0,14.9lb
424,1,3,10,green,no,unusually small,2,20.3lb
425,4,2,10,green,no,normal,3,22.2lb
426,1,1,9,green,no,unusually small,0,17.0lb
427,2,5,9,gray,yes,normal,3,4.7lb
428,0,4,6,green,no,normal,0,20.4lb
429,5,4,10,grayish-green,no,unusually large,3,22.8lb
430,4,2,11,gray,yes,normal,0,6.1lb
431,1,2,9,green,no,normal,2,19.9lb
432,2,1,11,green,no,normal,1,18.5lb
433,2,7,13,grayish-green,no,normal,3,25.5lb
434,9,2,12,grayish-green,no,normal,2,26.3lb
435,0,1,8,green,no,normal,2,17.9lb
436,1,2,10,green,no,normal,3,22.4lb
437,4,3,10,grayish-green,no,unusually large,0,21.4lb
438,2,4,10,gray,yes,normal,0,5.1lb
439,4,2,10,green,no,normal,1,19.5lb
440,3,3,9,grayish-green,no,unusually small,2,23.2lb
441,0,2,6,green,no,normal,0,20.4lb
442,2,1,11,green,no,normal,1,19.3lb
443,4,1,10,green,no,normal,5,26.0lb
444,0,2,6,green,no,normal,0,20.4lb
445,0,6,6,green,no,normal,0,20.4lb
446,6,4,9,grayish-green,no,normal,7,22.1lb
447,3,4,11,gray,yes,normal,2,6.1lb
448,2,5,10,grayish-green,no,normal,1,21.9lb
449,7,3,11,grayish-green,no,unusually large,4,28.8lb
450,0,2,6,green,no,normal,0,20.4lb
451,0,6,6,green,no,normal,0,20.4lb
452,0,2,6,green,no,normal,0,20.4lb
453,1,3,9,green,no,normal,1,20.4lb
454,2,2,9,green,no,normal,1,19.5lb
455,1,2,14,grayish-green,no,normal,0,21.7lb
456,0,1,9,green,no,normal,2,19.9lb
457,3,4,12,grayish-green,no,normal,1,20.5lb
458,4,3,10,green,no,normal,0,17.2lb
459,3,2,11,green,no,normal,0,18.4lb
460,4,1,10,green,no,normal,5,22.2lb
461,3,0,7,gray,yes,unusually small,4,3.7lb
462,1,1,9,green,no,normal,6,17.3lb
463,2,3,10,green,no,unusually large,0,16.5lb
464,0,6,6,green,no,normal,0,20.4lb
465,2,0,10,green,no,unusually large,3,20.8lb
466,1,3,11,green,no,normal,0,20.0lb
467,5,3,10,green,no,unusually large,0,16.9lb
468,1,4,9,green,no,normal,1,17.4lb
469,0,2,6,green,no,normal,0,20.4lb
470,2,2,9,gray,yes,normal,3,4.2lb
471,2,3,11,green,no,normal,0,18.8lb
472,0,0,9,green,no,normal,2,15.8lb
473,0,5,10,green,no,unusually small,3,19.4lb
474,4,4,13,gray,yes,normal,2,6.2lb
475,9,3,10,grayish-green,no,normal,2,22.2lb
476,1,0,8,grayish-green,no,normal,0,18.0lb
477,3,3,7,green,no,normal,3,22.6lb
478,1,2,10,green,no,unusually large,1,19.7lb
479,3,3,12,gray,yes,normal,3,6.2lb
480,3,2,9,green,no,normal,8,28.0lb
481,3,3,9,green,no,normal,1,17.0lb
482,6,5,8,green,no,normal,1,16.7lb
483,0,4,6,green,no,normal,0,20.4lb
484,8,3,11,gray,yes,normal,3,6.1lb
485,1,4,12,greenish-gray,no,normal,0,24.8lb
486,5,2,10,grayish-green,no,normal,5,19.5lb
487,1,4,8,green,no,normal,0,16.6lb
488,7,4,13,grayish-green,no,normal,0,23.3lb
489,0,3,6,green,no,normal,0,20.4lb
490,2,0,10,green,no,normal,0,16.8lb
491,4,2,11,green,no,normal,2,20.2lb
492,0,6,6,green,no,normal,0,20.4lb
493,2,1,11,green,no,normal,3,18.2lb
494,2,3,9,green,no,normal,3,17.5lb
495,4,4,12,green,no,unusually large,3,23.9lb
496,2,1,8,gray,yes,normal,0,4.2lb
497,2,2,9,green,no,normal,0,17.1lb
498,0,1,6,green,no,normal,0,20.4lb
499,5,1,9,green,no,normal,0,18.0lb
500,0,4,6,green,no,normal,0,20.4lb
501,0,6,6,green,no,normal,0,20.4lb
502,0,4,6,green,no,normal,0,20.4lb
503,2,2,11,grayish-green,no,normal,0,20.6lb
504,5,1,11,gray,yes,unusually small,3,4.7lb
505,5,4,13,grayish-green,no,normal,4,26.5lb
506,5,3,10,gray,yes,normal,2,4.8lb
507,2,1,9,green,no,normal,0,15.7lb
508,3,3,10,green,no,normal,0,17.1lb
509,3,7,9,grayish-green,no,normal,3,22.6lb
510,3,1,8,gray,yes,normal,7,3.7lb
511,0,4,6,green,no,normal,0,20.4lb
512,0,2,6,green,no,normal,0,20.4lb
513,0,2,6,green,no,normal,0,20.4lb
514,0,1,6,green,no,normal,0,20.4lb
515,1,4,12,green,no,normal,1,18.0lb
516,1,2,12,grayish-green,no,normal,0,18.2lb
517,3,2,14,gray,yes,normal,6,7.3lb
518,3,2,10,green,no,normal,1,19.7lb
519,0,4,6,green,no,normal,0,20.4lb
520,4,2,10,gray,yes,normal,1,5.0lb
521,3,2,9,green,no,normal,0,15.3lb
522,0,2,6,green,no,normal,0,20.4lb
523,2,1,10,green,no,normal,0,17.1lb
524,3,4,9,green,no,normal,0,19.6lb
525,2,1,8,green,no,normal,2,19.5lb
526,6,5,11,grayish-green,no,normal,0,24.3lb
527,3,4,11,grayish-green,no,normal,0,20.0lb
528,0,5,6,green,no,normal,0,20.4lb
529,1,2,9,gray,yes,normal,0,3.7lb
530,7,5,9,grayish-green,no,unusually small,2,22.5lb
531,2,3,11,green,no,normal,0,16.5lb
532,16,4,13,greenish-gray,no,normal,0,30.6lb
533,6,1,10,green,no,normal,1,22.8lb
534,3,3,10,grayish-green,no,normal,3,19.4lb
535,3,0,11,grayish-green,no,normal,1,21.4lb
536,0,2,6,green,no,normal,0,20.4lb
537,2,2,12,grayish-green,no,normal,1,22.7lb
538,4,2,11,green,no,normal,2,17.0lb
539,2,2,10,gray,yes,normal,0,5.3lb
540,2,4,9,gray,yes,normal,1,4.6lb
541,3,2,8,green,no,normal,0,16.6lb
542,0,4,6,green,no,normal,0,20.4lb
543,1,1,10,green,no,normal,1,17.8lb
544,6,3,9,gray,yes,unusually large,0,4.5lb
545,5,2,12,gray,yes,normal,0,5.4lb
546,5,6,10,grayish-green,no,normal,0,22.1lb
547,2,0,9,green,no,unusually small,1,18.9lb
548,1,2,8,green,no,normal,0,15.8lb
549,0,5,6,green,no,normal,0,20.4lb
550,5,2,12,gray,yes,normal,0,5.8lb
551,2,1,9,gray,yes,normal,2,4.3lb
552,1,2,10,green,no,normal,5,23.3lb
553,7,2,9,green,no,normal,2,20.7lb
554,4,3,9,green,no,normal,0,17.2lb
555,4,2,11,grayish-green,no,normal,7,26.5lb
556,10,4,11,grayish-green,no,normal,1,25.5lb
557,5,0,12,grayish-green,no,normal,6,30.6lb
558,1,1,9,green,no,normal,2,16.5lb
559,1,0,11,green,no,normal,0,15.7lb
560,0,5,6,green,no,normal,0,20.4lb
561,0,4,14,green,no,normal,5,29.4lb
562,0,6,6,green,no,normal,0,20.4lb
563,4,3,10,green,no,normal,2,22.5lb
564,1,0,12,gray,yes,normal,2,6.1lb
565,2,2,13,green,no,normal,0,20.7lb
